Bin,AvgAge_Min,AvgAge_Max,MEDAge,TimeInterval
1,9.066666667,380.44,194.7533333,371.3733333
2,113.56,993.46,553.51,879.9
3,510.7,1350.18,930.44,839.48
4,1136.34,1601.06,1368.7,464.72
5,1555.78,2125.02,1840.4,569.24
6,1975.88,2566.76,2271.32,590.88
7,2236.98,2930.08,2583.53,693.1
8,2401.12,3170.84,2785.98,769.72
9,2599.26,3372.02,2985.64,772.76
10,2892.66,3545.76,3219.21,653.1
11,3259.04,3843.58,3551.31,584.54
12,3554.8,4381.58,3968.19,826.78
13,4075.98,4770.74,4423.36,694.76
14,4521.98,5416.54,4969.26,894.56
15,4892.68,6001.46,5447.07,1108.78
16,5205.62,6261.84,5733.73,1056.22
17,5437.68,6625.3,6031.49,1187.62
18,5719.76,6856.3,6288.03,1136.54
19,5982.86,7138.64,6560.75,1155.78
20,6252.38,7620.42,6936.4,1368.04
21,6810.82,8268.36,7539.59,1457.54
22,7864.44,8701.4,8282.92,836.96
23,8550.86,9360.62,8955.74,809.76
24,8807.96,9703.28,9255.62,895.32
25,9318.26,10016.94,9667.6,698.68
26,9692.4,10543.14,10117.77,850.74
27,9902.98,11305.3,10604.14,1402.32
28,10281.22,11876.02,11078.62,1594.8
29,10833.14,12221.94,11527.54,1388.8
30,11574.4,12489.68,12032.04,915.28
31,12208.32,12927.04,12567.68,718.72
32,12647.92,13249.38,12948.65,601.46
33,12939.68,13380.14,13159.91,440.46
34,13102.72,13463.88,13283.3,361.16
35,13215.02,13569.76,13392.39,354.74
36,13265.56,13691.74,13478.65,426.18
37,13332.28,13807.52,13569.9,475.24
38,13414.64,13928.88,13671.76,514.24
39,13535.16,14102.32,13818.74,567.16
40,13738.74,14395.94,14067.34,657.2
41,13932.52,14869.88,14401.2,937.36
42,14057.92,15789.5,14923.71,1731.58
43,14232.86,16657.48,15445.17,2424.62
44,14442.66,16959.94,15701.3,2517.28
45,14723.88,17162.74,15943.31,2438.86
46,15092.3,17398,16245.15,2305.7
47,15584.88,17725.28,16655.08,2140.4
48,16225.36,18007.94,17116.65,1782.58
49,16743.04,18258.02,17500.53,1514.98
50,17022.68,18432.94,17727.81,1410.26
51,17290.14,18579.36,17934.75,1289.22
52,17584.2,18711.26,18147.73,1127.06
53,17801.78,18849.16,18325.47,1047.38
54,17930.54,19003.08,18466.81,1072.54
55,18026.7,19153.62,18590.16,1126.92
56,18219.68,19297.94,18758.81,1078.26
57,18471.46,19468.26,18969.86,996.8
58,18724.44,19615.84,19170.14,891.4
59,18977.32,19739.28,19358.3,761.96
