Catalogue_Num,Pit,Bin,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes,Quadrant,GMM?,TeethCorrosion
41229-25948,1D/E,15,220,225,2.00E+07,lizard,,,femur,10,10R,,100,,
41229-29125,1D/E,15,210,215,2.00E+05,lizard,,,scapulocorocoid,11,11R,,75,,
41229-29072,1D/E,15,210,215,2.00E+04,lizard,,,humerus,13,13L,,100,,
41229-29061,1D/E,15,210,215,2.00E+04,lizard,,,femur,14,14R,,100,,
41229-20,1,1,0,15,2A1,lizard,Phrynosomatidae,,dentary,1,1L,",frag. 18 tooth positions, posterior teeth tricuspid",75,No,
41229-26774,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, with splenial",25,No,
41229-26775,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,ant. frag,25,No,
41229-26777,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,"trcuspid, missing ventral border",25,No,
41229-26778,1,1,0,5,2A1,lizard,Teiidae,,dentary,1,1L,"tricuspid posterior, ventral meckel groove, very deteriorated",75,No,shaft
41229-26789,1E,1,0,5,2A1,lizard,,,humerus,1,1L,,100,,
41229-26793,1A,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,eroded teeth,75,No,crown
41229-26795,1D,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,ant. frag,25,No,
41229-26796,1D,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,25,No,
41229-26800,1E,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, open meckels canal",75,No,
41229-26801,1E,1,5,10,2A2,lizard,,,pelvis,1,1L,,75,,
41229-26802,1E,1,5,10,2A2,lizard,Anguidae,Gerrhonotus,braincase,1,1L,prootic,100,,
41229-26813,1D,1,10,15,2A3,lizard,Phrynosomatidae,,maxilla,1,1L,ant. frag,25,No,
41229-26818,1E,1,10,15,2A3,lizard,Phrynosomatidae,cf. Sceloporus,maxilla,1,1L,tricuspid,50,No,
41229-26815,1D,1,10,15,2A3,lizard,,,pterygoid,1,1L,,50,,
41229-26810,1D,1,10,15,2A3,lizard,,,scapulocorocoid,1,1L,,50,,
41229-26816,1E,1,10,15,2A3,lizard,,,scapulocorocoid,1,1L,,100,,
41229-26824,1,2,15,20,2A4,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, burned, eroded teeth",50,No,crown
41229-26823,1,2,15,20,2A4,lizard,Teiidae,,dentary,1,1L,bicuspid,75,No,
41229-6875,1,2,15,20,2A5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,2 long horns,75,,
41229-26825,1,2,15,20,2A4,lizard,Phrynosomatidae,,surangular,1,1L,,75,,
41229-26836,1C,2,20,25,2A5,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, open meckels canal",75,No,
41229-26843,1E,2,20,25,2A5,lizard,,,femur,1,1L,,100,,
41229-26838,1C,2,20,25,2A5,lizard,,,humerus,1,1L,,100,,
41229-26835,1B,2,20,25,2A5,lizard,Phrynosomatidae,,maxilla,1,1L,"eroded teeth, straight ant and post processes",100,Maybe,crown
41229-26839,1C,2,20,25,2A5,lizard,Phrynosomatidae,,maxilla,1,1L,,75,No,
